mode,overall,alpha,lam,test_loss,test_acc,test_auc
Projection,False,1.000000,300,0.514304,0.755300,0.845030
Parameter-wise,False,1.000000,300,0.500989,0.761400,0.845824
Projection,False,1.000000,1000,0.499674,0.763900,0.848446
Parameter-wise,False,1.000000,1000,0.520066,0.752100,0.845795
Projection,False,1.000000,3000,0.500394,0.759600,0.848965
Parameter-wise,False,1.000000,3000,0.494786,0.763900,0.847434
Projection,False,1.000000,10000,0.485756,0.767700,0.852580
Parameter-wise,False,1.000000,10000,0.515145,0.750300,0.843134
Projection,False,1.000000,30000,0.511617,0.759100,0.845016
Parameter-wise,False,1.000000,30000,0.509259,0.755400,0.840986
Projection,True,0.010000,300,0.507713,0.758200,0.849179
Projection,True,0.100000,300,0.514559,0.754700,0.846049
Projection,True,0.010000,1000,0.501330,0.764200,0.852462
Projection,True,0.100000,1000,0.516030,0.753300,0.845000
Projection,True,0.010000,3000,0.509581,0.759500,0.843910
Projection,True,0.100000,3000,0.518401,0.752200,0.840600
Projection,True,0.010000,10000,0.512961,0.756600,0.848613
Projection,True,0.100000,10000,0.486512,0.764900,0.845885
Projection,True,0.010000,30000,0.484289,0.764400,0.849790
Projection,True,0.100000,30000,0.497122,0.765900,0.843240
Single task,True,1.000000,0,0.502837,0.761400,0.841915
Multitask,True,1.000000,300,0.503419,0.757500,0.842881
Multitask,True,1.000000,1000,0.512485,0.755800,0.845095
Multitask,True,1.000000,3000,0.492926,0.762800,0.846454
Multitask,True,1.000000,10000,0.504778,0.756800,0.846137
Multitask,True,1.000000,30000,0.532021,0.743300,0.830107
Projection,True,1.000000,300,0.513876,0.756300,0.842973
Unweighted cosine,True,1.000000,300,0.501348,0.759400,0.844719
Weighted cosine,True,1.000000,300,0.519056,0.750600,0.841490
Projection,True,1.000000,1000,0.500250,0.758600,0.842283
Unweighted cosine,True,1.000000,1000,0.486191,0.765300,0.847389
Weighted cosine,True,1.000000,1000,0.506313,0.753600,0.841780
Projection,True,1.000000,3000,0.499988,0.762600,0.841522
Unweighted cosine,True,1.000000,3000,0.500127,0.759300,0.843639
Weighted cosine,True,1.000000,3000,0.522384,0.748900,0.842656
Projection,True,1.000000,10000,0.522456,0.748100,0.847407
Unweighted cosine,True,1.000000,10000,0.477600,0.774900,0.854672
Weighted cosine,True,1.000000,10000,0.485058,0.768100,0.847419
Projection,True,1.000000,30000,0.487970,0.764700,0.846339
Unweighted cosine,True,1.000000,30000,0.517739,0.754400,0.848158
Weighted cosine,True,1.000000,30000,0.488736,0.766300,0.848056
Projection,False,1.000000,300,0.500453,0.763300,0.845110
Parameter-wise,False,1.000000,300,0.497343,0.756700,0.843503
Projection,False,1.000000,1000,0.500803,0.762900,0.846596
Parameter-wise,False,1.000000,1000,0.511898,0.756400,0.843238
Projection,False,1.000000,3000,0.502752,0.759600,0.847039
Parameter-wise,False,1.000000,3000,0.514276,0.754300,0.841692
Projection,False,1.000000,10000,0.497708,0.761400,0.846965
Parameter-wise,False,1.000000,10000,0.504800,0.758600,0.846567
Projection,False,1.000000,30000,0.482193,0.767000,0.848241
Parameter-wise,False,1.000000,30000,0.501106,0.759700,0.842430
Projection,True,0.010000,300,0.514524,0.751300,0.841149
Projection,True,0.100000,300,0.520122,0.749200,0.841981
Projection,True,0.010000,1000,0.515292,0.757400,0.845428
Projection,True,0.100000,1000,0.500630,0.762100,0.844409
Projection,True,0.010000,3000,0.502386,0.763900,0.846683
Projection,True,0.100000,3000,0.499222,0.761200,0.846033
Projection,True,0.010000,10000,0.493789,0.764200,0.841231
Projection,True,0.100000,10000,0.495940,0.764600,0.844829
Projection,True,0.010000,30000,0.496554,0.761100,0.841956
Projection,True,0.100000,30000,0.508570,0.759900,0.847271
Single task,True,1.000000,0,0.528182,0.751800,0.837515
Multitask,True,1.000000,300,0.496410,0.763100,0.845956
Multitask,True,1.000000,1000,0.495828,0.763800,0.846971
Multitask,True,1.000000,3000,0.507498,0.756400,0.847301
Multitask,True,1.000000,10000,0.507215,0.757800,0.848128
Multitask,True,1.000000,30000,0.545441,0.734400,0.837516
Projection,True,1.000000,300,0.512293,0.758100,0.843344
Unweighted cosine,True,1.000000,300,0.503400,0.760100,0.842741
Weighted cosine,True,1.000000,300,0.508297,0.759200,0.848302
Projection,True,1.000000,1000,0.492465,0.763100,0.846632
Unweighted cosine,True,1.000000,1000,0.512591,0.754600,0.845194
Weighted cosine,True,1.000000,1000,0.521885,0.757700,0.847193
Projection,True,1.000000,3000,0.508742,0.761400,0.851215
Unweighted cosine,True,1.000000,3000,0.487980,0.767300,0.848887
Weighted cosine,True,1.000000,3000,0.506613,0.759200,0.846714
Projection,True,1.000000,10000,0.488555,0.765600,0.850090
Unweighted cosine,True,1.000000,10000,0.499666,0.764700,0.849598
Weighted cosine,True,1.000000,10000,0.494441,0.767000,0.847207
Projection,True,1.000000,30000,0.508072,0.759800,0.846074
Unweighted cosine,True,1.000000,30000,0.505375,0.754900,0.848300
Weighted cosine,True,1.000000,30000,0.491979,0.761900,0.848616
Projection,False,1.000000,300,0.499025,0.763200,0.845683
